"","-*","Input file number","Language(s) of the main text","Other Language(s) in the main text","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Text Format","Publisher","Copyright owner","Location of printing-","Colophon","Uuree"
"932","M0058004-034","W1NLM91-I1NLM91","Tibetan","N","*, ,DPAL LDAN LHA MO LA ZHI BA'I ME MCHOD 'BUL TSUL MI MTHUN KUN 'JOMS ZHES BYA BA BZHUGS SO, ,","DHARMA BADZRA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-5A","18.5x8","22x9","MS",NA,NA,NA,"@005A *, ,DPAL LDAN LHA MO LA ZHI BA'I ME MCHOD 'BUL TSUL MI MTHUN KUN 'JOMS ZHES BYA BA 'DI YANG PHRAL DU NYER MKHO'I CHED KU S'A LI ^DHARMA BADZRA GYIS BRIS, ,BKRA SHIS, ,DGE LEGS 'PHEL, ,","Uuree"
"933","M0058004-035","W1NLM91-I1NLM91","Tibetan","N","*, ,BLA MA MCHOG GSUM GYI THUGS RJE BSKUL BA NGES 'BYUNG SKYO SHAS KYI SHUGS GLU ZHES BYA BA BZHUGS SO, ,","LCANG SKYA ROL PA'I RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-9A","18.5x8","22x9","MS",NA,NA,NA,NA,"Uuree"
"934","M0058004-036","W1NLM91-I1NLM91","Tibetan","N","*, ,DUD 'GRO SHI GSON LA PHAN PA'I MAN NGAG 'KHYER BDE BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-10A","17x7","22x9","MS",NA,NA,NA,NA,"Uuree"
"935","M0058004-037","W1NLM91-I1NLM91","Tibetan","N","*, ,DUD 'GRO SHI GSON LA PHAN PA'I MAN NGAG 'KHYER BDE BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-11A","17x7","22x8","MS",NA,NA,NA,NA,"Uuree"
"936","M0058004-038","W1NLM91-I1NLM91","Tibetan","N","*, ,RGYAL KUN MCHOG GI BDAG NYID ^PAn CHEN THAMS CAD MKHYEN CENG GZIGS PA CHEN PO'I MCHOG GI SPRUL SKU RIN PO CHE'I ZHABS BRTAN GSOL 'DEBS SMON TSIG 'DOD DON LHUN GRUB DPAG BSAM DBANG PO ZHES BYA BA BZHUGS SO, ,","NGAG DBANG YE SHES BSTAN PA'I RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-6B","17x5","22x9","MS",NA,NA,NA,"@006A *, (CES PA 'DI NI RAB 'BYAMS RGYAL KUN 'DUS PA'I SPYI GZUGS RIGS KUN KHYAB BDAG BKA' DRIN MTSUNGS MED PAN CHEN THAMS CAD MKHYEN CING GZIGS PA CHEN PO'I MCHOG GI SPRUL SKU'I RIN PO CHE ZHABS BRTAN GSOL 'DEBS 'DI LTA BU DGOS ZHES BLA MA LTAR MI PHYED PA'I DAD PA BRTAN PO THOB PA PHYAG MDZOD GRE SE SBEN NO MIN HAN NAS SRID NA RING PA'I LHA RDZAS DANG, DNGOS PO'I RTEN GYI NOM PA BCAS BSKUL MDZAD DON BZHIN ^SKYABS MGON CHEN PO GANG DE'I GSUNG GI BDUD RTZI NOD PA'I SLOB BU'I THA SHAL BA RVA SGRENG AA CHI THU HO @006B THOG THU NGAG DBANG YE SHES BSTAN PA'I RGYAL MTSAN GYIS GSOL 'DEBS SHUGS DRAG DANG BCAS DANG BCAS RAB DGU DVANG PA CHEN POS SBYAR BA'O, ,)","Uuree"
"937","M0058004-039","W1NLM91-I1NLM91","Tibetan","N","*, ,BAR DO'I GSOL 'DEBS ZHES BYA BA BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-4A","17x8","20x7","MS",NA,NA,NA,"@004A *, ,(CES BAR DO'I 'PHRANG SGROL GYIS GSOL 'DEBS 'JIGS SGROL GYIS DPA' PO ZHES BYA BA 'DI YANG, ,DON NYER DGA' ZHIG GIS BSKUL BA'I DON DU MDO RGYUD DAM PA'I MANG NGAG BZHIN DU SH'AKYA'I BTZUN PA BLO BZANG CHOS KYI RGYAL MTSAN GYIS CHOS GRVA CHEN PO DPAL LDAN 'BRAS SPUNGS KYIS GZIMS KHANG DU SBYAR BA 'DI NYID SNOD MIN DANG BLA MED KYI DBANG THOB PA RNAMS GSANG BAR BYA KHO NA YIN CING, ,RANG NYID YI DAM GANG LA BYED PA DE'I GSOL 'DEBS KYI MJUG TU SBYAR BAS CHOG CING, DON DRANG BZHIN PAS NYAMS SU BLANGS NAS 'CHI GA'I GDAMS PA'I RGYAL POR 'GYUR RO, ,)","Uuree"
"938","M0058004-040","W1NLM91-I1NLM91","Tibetan","N","NO TITLE [@002A *, ,BABS RDZAS MCHOD GTOR RNAMS, AOm A'U; H'Um, GIS BYIN GYIS RLABS LA, H'Um RNAM DAG CHOS KYI DBYINGS KYI PHO BRANG NAS,]",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Medium","N","2A-3B [missing page from 1A-1B]","16.5x6.5","21.5x8.5","MS",NA,NA,NA,NA,"Uuree"
"939","M0058004-041","W1NLM91-I1NLM91","Tibetan","N","#, ,RTA MGRIN GSANG SGRUB KYI TSOGS 'KHOR GYI CHO GA RNAL 'BYOR ROL PA'I DGA' STON ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-9A","17x7","22x8.7","MS",NA,NA,NA,NA,"Uuree"
"940","M0058004-042","W1NLM91-I1NLM91","Tibetan","N","*, ,'DOD DON LHUN GRUB DRANG SRONG BDEN TSIG CES BYA BA BZHUGS SO, ,","BLO BZANG CHOS 'DZIN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","2A-5A [*Missing page from 1A-1B*]","16.5x5.5","22x7","XYL",NA,NA,NA,"@004B (CES BYANG PHYOGS BSTAN 'GRO'I DPAL MGON RJE BTZUN DAM PA RIN PO CHE'I SKU GONG MA, ^BLO BZANG BSTAN PA'I RGYAL MTSAN DPAL BZANG PO'I ZHAL SNGA NAS, PHYOGS 'DIR GSAR TSUGS KYI MDO SNGAGS BSTAN PA'I SROL BZANG DRI MA MED PA RING DU 'BAR ZHING RGYAS PAR SMON PA@005A *, ,'DOD DON LHUN GRUB DRANG SRONG BDEN TSIG CES BYA BA 'DI NI, SNGA SOR KHU RAL CHEN MO'I GRVA RIGS PA DKA' BCU PA DPAL LDAN GYIS BSKUL ZHING, DA LAN TSUL KHRIMS BYANG CHUB GLING GI TSOGS CHEN DBUS MDZAD DKA' BCU PA RTA MGRIN SKYABS KYIS LHA DAR SER PO DNGUL tAm BCAS BSKUL BA'I NGOR SNGAGS RAM PA BLO BZANG CHOS 'DZIN GYIS GLING DE NYID DU SBYAR BA'O, ,DGE LEGS 'PHEL,, ,,)","Uuree"
"941","M0058004-043","W1NLM91-I1NLM91","Tibetan","N","*, ,GSHIN PO'I NGUR 'DEBS KYI SA BSLANG BA SOGS JI LTAR BYA TSUL GYI CHO GA MDOR BSDUS GZHAN PHAN SNYING PO ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-9B [*Missing page from 10A]","17x9","22x12","MS",NA,NA,NA,NA,"Uuree"
"942","M0058004-044","W1NLM91-I1NLM91","Tibetan","N","*, ,CHOS SKYONG LCAM SRING GI GNYER GTAD 'PHRIN BCOL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-2B","13.5x5.5","17.5x7","MS",NA,NA,NA,NA,"Uuree"
"943","M0058004-045","W1NLM91-I1NLM91","Tibetan","N","*, ,'PHRIN BCOL BSTOD PA NI,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-4A","13.5x5.5","17.5x7","MS",NA,NA,NA,NA,"Uuree"
"944","M0058004-046","W1NLM91-I1NLM91","Tibetan","N","*, ,BSTOD PA NI,","BSOD NAMS RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","4A-7B","13.5x5.5","17.5x7","MS",NA,NA,NA,"@007B (CES CHOS SKYONG BEGTZI LCAM SRING 'KHOR DANG BCAS PA LA, BSTOD PA 'DI NI CHOS SMRA BA CHEN PO MKHAS MCHOG RGYA MTSO'I SKU SKYE, BLO BZANG BSTAN PA RGYA MTSO ZHES BYA BAS BSKUL BA LA BRTEN NAS, SH'AKYA'I BTZUN PA BSOD NAMS RGYA MTSO DPAL BZANG PO, GRU 'DZIN RI BO'I NGOGS KYI CHOS GRVA CHEN PO DPAL RTZENGS DANG DU BKOD PA'O,,BKRA SHIS GYUR CIG , ,,)","Uuree"
"945","M0058005-001","W1NLM92-I1NLM92","Tibetan","N","*, ,'PHAGS PA 'JAM DPAL GYI MTSAN YANG DAG PAR BRJOD PA BZHUGS SO, ,","SH'AKYA THUB PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-20A","18x6","22x8.5","XYL",NA,NA,NA,NA,"Uuree"
"946","M0058005-002","W1NLM92-I1NLM92","Tibetan","N","*, ,BDE SMON ZHING MCHOG SGO 'BYED MA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-9A","18x6","22x8.5","XYL",NA,NA,NA,NA,"Uuree"
"947","M0058005-003","W1NLM92-I1NLM92","Tibetan","N","*, ,MYUR BYON YID SMON LHUN GRUB MA BZHUGS SO, ,","DAM PA'I MING CAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-3A","18x7","20.5x8","XYL",NA,NA,NA,"@003A *, ,(CES SKYABS MGON DZA YA PAndI TA RJE BTZUN MCHOG GI SPRUL SKU RIN PO CHE KHONG NYID GDUL BYA RTAG 'DZIN CAN RNAMS CHOS LA BSKUL BA'I PHYIR DU RE SHIG GZUGS SKU CHOS DBYINGS SU THIM TSUL BSTAN SKABS, YANG SRID MYUR BYON SMON TSIG 'DI LTA BU ZHIG DGOS ZHES, BSHAD SGRUB BSTAN PA'I 'BYUNG GNAS DGA' LDAN DGE RGYAS GLING DGON PA DE'I PHYAG MDZOD PA DANG, GZHUNG LAS PA RNAM PA GNYIS DANG, TSOGS CHEN DGE BSKOS, ,MGRON GNYER BSOD NAMS RDO RJE SOGS ZHABS GRAS DAD LDAN 'DUS SPYI THUN MONG NAS NAN GYIS SRID DU RING BA'I LHA RDZAS RAB DKAR MAndAL DANG BCAS BSKUL BA'I NGOR ^DAM PA'I MING CAN GYIS BRIS PA'O, ,DGE'O, ,)","Uuree"
"948","M0058005-004","W1NLM92-I1NLM92","Tibetan","N","*, ,PO TI LNGA'I SMON LAM BZHUGS SO, ,","NGAG DBANG DPAL LDAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-4A","16x6","22x8.5","XYL",NA,NA,NA,"@003B (ZHES BKA' BOD RNAM LNGA'I SMON LAM 'DI NI, DGA' LDAN BSHAD SGRUB DAR RGYAS GLING NAS BLO LDAN MANG DU THOS PA'I DBU MDZAD BLO BZANG DGE 'DUN GYIS 'DI LTA BU ZHIG DGOS ZHES BSKUL BA'I NGOR, BSHES GNYEN DAM @004A *, ,PA'I BKA' DRIN GYIS BKA' BOD RNAM LTAR CUNG ZAD SBYANGS BA'I ^SPRANG BTZUN NGAG DBANG DPAL LDAN GYIS SBYAR BA 'DIS KYANG KUN TU DGE BAR GYUR CIG , SARBA MANGGA LAM, ,)","Uuree"
"949","M0058005-005","W1NLM92-I1NLM92","Tibetan","N","*, ,RJE BTZUN SGROL DKAR MA BZHUGS S+HO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-3A","21.5x6","22x7.5","XYL",NA,NA,NA,NA,"Uuree"
"950","M0058005-006","W1NLM92-I1NLM92","Tibetan","N","*, ,RJE TZONG KHA PA'I GZIGS PA RNAM PA LNGA'I SKU BRNYAN MTSAN BSTOD BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-6A","22x9","22x9","XYL",NA,NA,NA,NA,"Uuree"
"951","M0058005-007","W1NLM92-I1NLM92","Tibetan","N","*, ,RIN CHEN JO BO GLING GI CHOS SPYOD RAB GSAL RIGS BSDUS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-3A","15x5","21x8","XYL",NA,NA,NA,NA,"Uuree"
"952","M0058005-008","W1NLM92-I1NLM92","Tibetan","N","*, ,LHA LAS PHUL DU BYUNG BAR BSTOD PA ZHES BYA BA BZHUGS SO, ,","BDE BYED BDAG PO,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-6B","16.5x6","21.5x9","XYL",NA,NA,NA,"@006A *, ,LHA LAS PHUL DU 'BYUNG BA'I BSTOD PA SLOB DPON BDE BYED BDAG POS MDZAD PA RDZOGS SO,, RGYA GAR GYI MKHAN PO SARBA DZ+NY'A DE WA DANG, LO TZ'A BA BANDE RIN CHEN MCHOG GIS BSGYUR, ZHU CHEN GYI LO TZ'A BA BANDE DPAL BRTZEGS RAKshI TAS ZHUS TE GTAN LA @006B PHAB PA'O,,","Uuree"
"953","M0058005-009","W1NLM92-I1NLM92","Tibetan","N","*, ,THAMS CAD MKHYEN PA DBANG PHYUG CHEN PO'I BSTOD PA ZHES BYA BA BZHUGS SO, ,","MTHO BTZUN GRUB RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","6B-9A","16.5x6","21.5x9","XYL",NA,NA,NA,"@009A *, ,THAMS CAD MKHYEN PA DBANG PHYUG CHEN PO'I BSTOD PA ZHES BYA BA BRAM ZE'I DGE BSNYEN MTHO BTZUN GRUB RJES MDZAD PA RDZOGS SO,, RGYA GAR GYI MKHAN PO DZ'A RA NA DA NA DANG, ZHU CHEN GYI LO TZ'A BA RIN CHEN BZANG POS BSGYUR BA'O,, ,,","Uuree"
"954","M0058005-010","W1NLM92-I1NLM92","Tibetan","N","#, ,KHYAD PAR DU 'PHAGS PA'I BSTOD PA ZHES BYA BA BZHUGS SO, ,","SLOB DPON MTHO BTZUN GRUB RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-13A","17x7","20x8.5","XYL",NA,NA,NA,"@012B KHYAD PAR DU 'PHAGS PA'I BSTOD PA SLOB DPON MTHO BTZUN GRUB RJES MDZAD PA RDZOGS SO, ,RGYA GAR GYI MKHAN PO SARVA DZNY'A DE WA DANG, ZHU CHEN GYI LO TZ'A BA BANDE RIN CHEN MCHOG GIS BSGYUR, SLAD KYIS BAN DE DPAL BRTZEGS RASH'I TAS BSGYUR CING ZHUS TE GTAN LA PHAB PA'O,, ,,@013A *, ,RGYAL BA SRAS DANG BCAS LA GUS PAS 'DUD, GANG LA SKYABS GTZAL RIGS PA'I YON TAN RNAMS, ,SANGS RGYAS RNAMS LA YOD PAR YONGS GCOD NAS, ,'JIG RTEN MTHU LDAN GZHAN LA RNAM BCAD CING, , SKYABS SU MI 'OS SKYON RNAMS BZLOG SBYAR SOGS, ,YA MTSAN RIGS PA'I 'PHRUL LDAN BSTOD PA GSUM, SPAR DU BSGRUN DGES MKHA' MNYAM SEMS CAN KUN, SKYABS GSUM KHO NAR MI PHYED DANG 'THOB SHOG ,BSTAN 'GYUR BSTOD TSOGS SKOR BZHUGS BSTOD 'GREL GNYIS, ,GZIGS RTOGS MDZAD CING GZHAN LA'ANG STON CIG PA'I, ZHU BA DGE BSHES RNAMS LA LAN GSUM 'BUL, ,SPAR 'DI AI RTEN JO BO'I DGON PAR GNAS,, ,,DGE'O, ,","Uuree"
"955","M0058005-011","W1NLM92-I1NLM92","Tibetan","N","*, ,'PHAGS PA GTZUG TOR RNAM PAR RGYAL MA'I GZUNGS RTOG PA DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-8A","19.5x6.5","22x8.5","XYL",NA,NA,NA,NA,"Uuree"
"956","M0058005-012","W1NLM92-I1NLM92","Tibetan","N","*, ,RJE RIN PO CHE LA GSOL BA 'DEBS PA'I SMON TSIG BSAM PA LHUN GYIS 'GRUB PA ZHES BYA BA BZHUGS SO, ,","GRAGS PA RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-11B","19x6","22x9","XYL",NA,NA,NA,"@011A *, ,(CES DUS GSUM SANGS RGYAS THAMS CAD KYI NGO BO RGYAL BA ^BLO BZANG GRAGS PA LA GSOL BA 'DEBS PA'I SMON TSIG BSAM PA LHUN GYIS 'GRUB PA ZHES BYA BA 'DI NI, GSO BA RIG @011B PA'I SGO NAS GZHAN LA PHAN PA'I 'PHRIN LAS RGYA CHE ZHING DANG BRTZON DANG SHES RAB PHUL DU BYUNG BA'I SMAN PA'I DKON MCHOG DAR RGYAS KYIS NAN TAN CHEN POS YANG YANG DU BSKUL NGOR ^RGYAL MKHAN PA ^GRAGS PA RGYAL MTSAN GYIS SBYAR BA'I YI GE PA NI DGE SLONG BLO BZANG CHOS 'PHEL LO,, ,, DGE'O, ,)","Uuree"
"957","M0058005-013","W1NLM92-I1NLM92","Tibetan","N","*, ,RJE BTZUN DAM PA RIN PO CHE'I ZHABS BRTAN GSOL 'DEBS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-3B","16.5x6.5","23.5x9","XYL",NA,NA,NA,NA,"Uuree"
"958","M0058005-014","W1NLM92-I1NLM92","Tibetan","N","*, ,PHUR TSUGS GSOL 'DEBS DGRA DPUNG KUN 'JOMS BZHUGS SO, ,","BLO BZANG BSTAN SPEL,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-5A","15.5x5.5","20.5x9","XYL",NA,NA,NA,"@005A *, ,ZHES PA 'DI NI DKA' BCU BZANG PO, DGE BSHES DBANG PHYUG GNYIS KYIS RAB DKAR LHA RDZAS BCAS 'DI LTA BU ZHIG DGOS ZHES BSKUL BA'I NGOR, DKA' BCU'I MING SKAM 'DZIN PA BLO BZANG BSTAN SPEL ZHES BYA BAS BRIS PA'O,, ,,'DIS KYANG 'GRO KUN BSHES GNYEN DAM PAS RJES SU 'DZIN PA'I RGYUR CIG , ,,DGE'O,, ,,","Uuree"
"959","M0058005-015","W1NLM92-I1NLM92","Tibetan","N","*, ,RJE BTZUN DAM PA RIN PO CHE'I ZHABS BRTAN GSOL 'DEBS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-3B","16.5x6.5","23.5x9","XYL",NA,NA,NA,NA,"Uuree"
"960","M0058005-016","W1NLM92-I1NLM92","Tibetan","N","*, ,KUN MKHYEN 'JAM DBYANGS BZHAD PA LA GSOL BA 'DEBS PA TSIGS SU BCAD BZHUGS SO, ,","BLO BZANG RIN CHEN TSANGS DBYANGS RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-3A","21x5.5","25x8","XYL",NA,NA,NA,"@003A *, , CES 'JAM DBYANGS BZHAD PA' @003A *, ,RDO RJE'I BSTOD PA 'DI NYID SGO MANG GRVA TSANG GYIS BSKUL NGOR, ^SH'AKYA'I BTZUN PA BLO BZANG RIN CHEN TSANGS DBYANGS RGYA MTSOS SBYAR BA'O, ,MANGGA LAm, ,","Uuree"
"961","M0058005-017","W1NLM92-I1NLM92","Tibetan","N","*, ,PAn CHEN THAMS CAD MKHYEN PA CHEN PO BLO BZANG CHOS KYI RGYAL MTSAN DPAL BZANG PO'I LA GSOL BA 'DEBS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-2B","18x6","22x9","XYL",NA,NA,NA,NA,"Uuree"
"962","M0058005-018","W1NLM92-I1NLM92","Tibetan","N","*, ,'DZAM GLING RGYAN GSUM GYI GSOL 'DEBS YID BZHIN NOR BU RE SKONG ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-7A[Missing page from 2A-2B, 7B*]","17x5","24x9","XYL",NA,NA,NA,NA,"Uuree"
"963","M0058005-019","W1NLM92-I1NLM92","Tibetan","N","*, ,DKON MCHOG GSUM LA BSTOD PA BZHUGS SO, ,","SLOB DPON DBYEG GNYEN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1B-2A","18x4.5","22x9","XYL",NA,NA,NA,"@002A *, ,DKON MCHOG GSUM GYI BSTOD PA SLOB DPON DBYEG GNYEN GYIS MDZAD PA RDZOGS SO, ,DGE'O, ,","Uuree"
"964","M0058005-020","W1NLM92-I1NLM92","Tibetan","N","*, ,SKU GSUM LA BSTOD PA ZHES BYA BA BZHUGS SO, ,","SLOB DPON 'PHAGS PA KLU SGRUB,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","2B-3A","18x4.5","22x9","XYL",NA,NA,NA,"@003A *, ,SKU GSUM LA BSTOD PA ZHES BYA BA, SLOB DPON 'PHAGS PA KLU SGRUB KYIS MDZAD PA RDZOGS SO, ,RGYA GAR GYI MKHAN PO KRishA PAndI TA DANG LO TZ'A BA DGE SLONG TSUL KHRIMS RGYAL BAS BSGYUR CING ZHUS TE GTAN LA PHAB PA'O, ,","Uuree"
"965","M0058005-021","W1NLM92-I1NLM92","Tibetan","N","*, ,RJE BTZUN 'JAM PA'I DBYANGS LA BSTOD PA 'JAM DBYANGS MNYES PAR BYED PA'I BSTOD SPRIN RGYA MTSO ZHES BYA BA BZHUGS SO, ,","RJE BLO BZANG GRAGS PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-24B","15x5.5","22x9","XYL",NA,NA,NA,"@024A *, ,(CES RJE BTZUN 'JAM PA'I DBYANGS LA BSTOD PA 'JAM DBYANGS MNYES PAR BYED PA'I BSTOD SPRIN RGYA MTSO ZHES BYA BA 'DI NI MANG DU THOS PA'I RGYAL KHAMS @024B PA BLO BZANG GRAGS PA'I DPAL GYIS GANGS CAN KHROD KYI GANGS RI'I DBANG PO 'O DE GUNG RGYAL GYI LHA ZHOL DU SBYAR BA'I YI GE PA NI SNOD 'DZIN PA BHA DRA P'A LA'O, ,)","Uuree"
"966","M0058005-022","W1NLM92-I1NLM92","Tibetan","N","*, ,'PHAGS PA SHES RAB KYI PHA ROL DU PHYIN PA 'BUM LNGA'I SNYING PO ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-4A","19x6","23x9","XYL",NA,NA,NA,NA,"Uuree"
"967","M0058005-023","W1NLM92-I1NLM92","Tibetan","N","*, ,JO BO DPAL LDAN AA TI SHA'I BTAGS GROL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-7A","14x5","22x9","XYL",NA,NA,NA,NA,"Uuree"
"968","M0058006-001","W1NLM93-I1NLM93","Tibetan","N","*, ,SHES RAB KYI PHA ROL TU PHYIN PA 'BUM BSDUS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-17A","17.5x7","23x9","XYL",NA,NA,NA,NA,"Uuree"
"969","M0058006-002","W1NLM93-I1NLM93","Tibetan","N","*, ,RJE BTZUN T'A RA N'A THA'I 'KHRUNGS RABS GSOL 'DEBS SMON LAM DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","9A-15B [Missing page from 16A]","19x7.5","23x9","XYL",NA,NA,NA,NA,"Uuree"
"970","M0058006-003","W1NLM93-I1NLM93","Tibetan","N","*, ,RI BO DGE RGYAS DGA' LDAN BSHAD SGRUB GLING GI CHOS SPYOD RAB GSAL RIGS BSDUS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-5A","18.5x7.5","23x9","XYL",NA,NA,NA,NA,"Uuree"
"971","M0058006-004","W1NLM93-I1NLM93","Tibetan","N","*, ,LTUNG BSHAGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","5A-5B [Missing page from 6A*]","18.5x7.5","23x9","XYL",NA,NA,NA,NA,"Uuree"
"972","M0058006-005","W1NLM93-I1NLM93","Tibetan","N","*, ,'OD DPAG MED KYI BLA MA'I RNAL 'BYOR BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-3A","19x7","22x9","XYL",NA,NA,NA,"@003A *, ,(TSUL 'DI YANG DAD PA DANG GTONG BA'I YON TAN DANG LDAN PA GU GE RGYAL MO NOR BU'I THUGS DAM DU DGE SLONG BLO BZANG CHOS KYI RGYAL MTSAN GYIS SMRAS PA'O,, ,,DGE LEGS 'PHEL, ,)","Uuree"
"973","M0058006-006","W1NLM93-I1NLM93","Tibetan","N","*, ,'PHAGS PA 'JAM DPAL GYI MTSAN YANG DAG PAR BRJOD PA BZHUGS SO, ,","SH'AKYA THUB PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-16B","20x7","23x9","XYL",NA,NA,NA,NA,"Uuree"
"974","M0058006-007","W1NLM93-I1NLM93","Tibetan","N","*, ,RJE BTZUN 'JAM DPAL DBYANGS KYI BSTOD PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-3B","19x7","23x9","XYL",NA,NA,NA,NA,"Uuree"
"975","M0058006-008","W1NLM93-I1NLM93","Tibetan","N","*, ,'PHAGS PA GDUGS DKAR MCHOG GRUB BZHUGS SO, ,","RJE BLO BZANG GRAGS PA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-18B","19x7","23x9","XYL",NA,NA,NA,"@018B (GTZUG TOR GDUGS DKAR CAN LA BSTOD PA 'DI NI, BLO BZANG GRAGS PA'I DPAL GYIS SDOM BRTZON SHES RAB RGYAL MTSAN LA SOGS PAS BSKUL BA'I NGOR SBYAR BA'O, ,)","Uuree"
"976","M0058006-009","W1NLM93-I1NLM93","Tibetan","N","*, ,GTZUG TOR DKAR MO'I BZLOG 'GYUR BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","18B-20B","19x7","23x9","XYL",NA,NA,NA,NA,"Uuree"
"977","M0058006-010","W1NLM93-I1NLM93","Tibetan","N","*, ,BCOM LDAN 'DAS MA SHES RAB KYI PHA ROL TU PHYIN PA'I SNYING PO BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","20B-26A","19x7","23x9","XYL",NA,NA,NA,NA,"Uuree"
"978","M0058006-011","W1NLM93-I1NLM93","Tibetan","N","NO TITLE [@001B THABS MKHAS THUGS RJES SH'AKYA'I RIGS 'KHRUNGS SHING, GZHAN GYIS MI THUB BDUD KYI DBUNG 'JOMS PA,]",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1B-7A","19x7","23x9","XYL",NA,NA,NA,NA,"Uuree"
"979","M0058006-012","W1NLM93-I1NLM93","Tibetan","N","*, ,'PHAGS PA RDO RJE RNAM PAR 'JOMS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","7A-10A","19x7","23x9","XYL",NA,NA,NA,NA,"Uuree"
